taxids;name;type designation
90499;uncultured gamma proteobacterium CHAB-IV-40;
450326;uncultured Suillus;
364294;uncultured Tremellaceae;
417325;uncultured Spizellomycetales;
235084;uncultured Archaeospora;
587031;uncultured Archaeosporales;
335429;uncultured Urochordata;
343858;uncultured Nannochloris;
282488;uncultured apicomplexan;
2038586;uncultured Mediophyceae;
151596;uncultured marine diatom 48-5-EKD54;
1973456;uncultured Semispathidium;
2487801;uncultured Fuscheria sp.;
347949;uncultured Didinium;
2038631;uncultured Haptoria;
29281;uncultured crenarchaeote;
455065;uncultured planctomycete 13FN;
455066;uncultured planctomycete 3FN;
455067;uncultured planctomycete 5H12;
455068;uncultured planctomycete 6FN;
455070;uncultured planctomycete 8FN;
558712;uncultured Desulfocaldus sp.;
156406;uncultured spirochete;
159821;uncultured verrucomicrobium MB11C04;
723595;uncultured verrucomicrobium HF0070_35;
1480117;uncultured Lepidodinium sp.;
589337;uncultured marine Gymnodiniaceae;
1480116;uncultured Takayama sp.;
455408;uncultured Gymnodiniales;
304061;uncultured Gymnodinium;
1305748;uncultured Noctiluca;
589448;uncultured marine Heterocapsaceae;
2487805;uncultured Pfiesteriaceae;
2219213;uncultured DPANN archaeon;
193323;uncultured rumen protozoa;
2711282;uncultured Ochrophyta;
2711285;uncultured Discicristata;
610164;uncultured opisthokont;
100234;uncultured Verrucomicrobiales bacterium;
100371;uncultured Planctomycetales bacterium;
100725;uncultured Syntrophorhabdaceae bacterium SHA-22;
100737;uncultured Syntrophorhabdaceae bacterium SHA-207;
101200;uncultured bacterium SH9;
101539;uncultured epsilon proteobacterium 1068;
101542;uncultured epsilon proteobacterium 1021;
101547;uncultured epsilon proteobacterium 1057;
101548;uncultured epsilon proteobacterium 1005;
101549;uncultured epsilon proteobacterium 1043;
101550;uncultured epsilon proteobacterium 1054;
101551;uncultured epsilon proteobacterium 1047;
101552;uncultured epsilon proteobacterium 1008;
101553;uncultured epsilon proteobacterium 1028;
101554;uncultured epsilon proteobacterium 1049;
101555;uncultured epsilon proteobacterium 1011;
101556;uncultured epsilon proteobacterium 1033;
101557;uncultured epsilon proteobacterium 1061;
1082931;Pelagibacterium halotolerans B2;
1159875;uncultured Pelagibacterium sp.;
1101446;uncultured Puniceicoccaceae bacterium;
114706;uncultured Acidobacterium sp.;
1159875;uncultured Pelagibacterium sp.;
117428;uncultured sludge bacterium A25;
117439;uncultured sludge bacterium H2;
117463;uncultured sludge bacterium A8;
117464;uncultured sludge bacterium A40;
117477;uncultured sludge bacterium H28;
117480;uncultured sludge bacterium A24;
117483;uncultured sludge bacterium S4;
117488;uncultured sludge bacterium A17;
1236213;uncultured Pasteuriaceae bacterium;
123970;uncultured marine alpha proteobacterium DHB-53;
125938;uncultured bacterium SA29;
125944;uncultured bacterium SA35;
126508;uncultured delta proteobacterium n30r;
126510;uncultured delta proteobacterium n34r;
131468;uncultured alpha proteobacterium SIC.174;
134488;uncultured bacterium GR-Sh2-74;
136703;uncultured rumen bacterium;
137384;uncultured bacterium mle1-41;
141709;uncultured bacterium GR-WP39-16;
144523;uncultured bacterium GR-WP54-3;
148189;uncultured Crater Lake bacterium CL120-133;
148190;uncultured Crater Lake bacterium CL500-85;
149914;uncultured equine intestinal eubacterium sp. PL27;
149997;uncultured bacterium UASB_TL56;
152507;uncultured actinobacterium;
152508;uncultured low G+C Gram-positive bacterium;
157276;uncultured Rhodobacteraceae bacterium;
159812;uncultured alpha proteobacterium MB11C09;
165435;uncultured Flavobacterium sp.;
166587;uncultured Chloroflexi bacterium;
169009;uncultured forest soil bacterium;
169975;uncultured Acetobacteraceae bacterium;
169976;uncultured Sphingomonadaceae bacterium;
169977;uncultured Bacteroidetes/Chlorobi group bacterium;
170969;uncultured Nitrospirae bacterium;
171954;uncultured Candidatus Dependentiae bacterium;
174294;uncultured Aminicenantes bacterium;
1781359;uncultured bacterium gwa2_scaffold_2445;
179114;uncultured SAR324 cluster bacterium;
182265;uncultured Chromatiaceae bacterium;
190530;uncultured Acidobacteriales bacterium;
191625;uncultured Alteromonadaceae bacterium;
194844;uncultured Acidobacteriaceae bacterium;
1965017;uncultured magnetotactic bacterium;
197512;uncultured Actinobacteridae bacterium;
201089;uncultured Desulfobacterium sp.;
208549;uncultured Rhizobiales bacterium;
211442;uncultured Caulobacteraceae bacterium;
213324;uncultured Nitrospiraceae bacterium;
213663;uncultured Deferribacteres bacterium;
214038;uncultured Desulfuromonadales bacterium;
218023;uncultured Hyphomicrobiaceae bacterium;
218296;uncultured Desulfobacteraceae bacterium;
219048;uncultured Antarctic sea ice bacterium;
220135;uncultured Pseudomonadaceae bacterium;
244328;uncultured Clostridia bacterium;
246132;uncultured Desulfobacterales bacterium;
253830;uncultured Myxococcales bacterium;
257465;uncultured Verrucomicrobia subdivision 3 bacterium;
257470;uncultured Verrucomicrobiaceae bacterium;
289361;uncultured Marinobacterium sp.;
290433;uncultured Helicobacteraceae bacterium;
293335;uncultured Oceanospirillales bacterium;
293398;uncultured Desulfuromonadaceae bacterium;
293402;uncultured Desulfobulbaceae bacterium;
293405;uncultured Sphingomonadales bacterium;
296830;uncultured Rhodospirillales bacterium;
325466;uncultured bacterium zdt-33i5;
325467;uncultured bacterium zdt-39a1;
344338;uncultured Firmicutes bacterium;
352351;uncultured Rhodospirillaceae bacterium;
352960;uncultured Campylobacterales bacterium;
367762;uncultured Nitrospirales bacterium;
412056;uncultured Verrucomicrobiae bacterium;
513582;uncultured Syntrophorhabdaceae bacterium;
526650;uncultured bacterium AD243-C9;
526652;uncultured bacterium AD249-B8;
526659;uncultured bacterium AD45-G12;
543364;uncultured Kiritimatiellaeota bacterium;
575426;uncultured Opitutae bacterium;
587656;uncultured Zetaproteobacteria bacterium;
591490;uncultured hydrothermal vent eubacterium;
592834;uncultured Opitutales bacterium;
641485;uncultured sludge bacterium;
710787;uncultured Rhodospirillales bacterium HF0200_01O14;
710801;uncultured alpha proteobacterium HF0010_13E22;
710805;uncultured alpha proteobacterium HF0070_17D04;
710806;uncultured alpha proteobacterium HF0070_34A12;
710995;uncultured Verrucomicrobiales bacterium HF0010_05E02;
710997;uncultured Verrucomicrobiales bacterium HF0200_39L05;
723558;uncultured myxobacterium HF0200_08J13;
73440;uncultured eubacterium SRang1.25;
73442;uncultured eubacterium SRang1.23;
74204;uncultured eubacterium WCHA1-80;
74205;uncultured eubacterium WCHB1-25;
748179;uncultured endophytic bacterium;
78978;uncultured Syntrophorhabdaceae bacterium SJA-162;
90838;uncultured delta proteobacterium Sva1045;
90843;uncultured delta proteobacterium Sva0103;
90844;uncultured delta proteobacterium Sva1034;
90846;uncultured delta proteobacterium Sva1033;
90847;uncultured delta proteobacterium Sva1041;
90854;uncultured delta proteobacterium Sva0566;
90857;uncultured delta proteobacterium Sva0556;
90858;uncultured delta proteobacterium Sva0631;
90863;uncultured delta proteobacterium Sva0590;
98180;uncultured bacterium PENDANT-19;
98202;uncultured bacterium BURTON-2;
171259;Haptophyta environmental samples;
1249885;phytoplankton environmental sample;
2594137;Eurytemora environmental sample;
2594141;Labidocera environmental sample;
2740466;Cyclocardia environmental sample;
2740471;Aliciidae environmental sample;
2740491;Golfingia environmental sample;
2813994;Calanus environmental sample;
480664;uncultured marine group II euryarchaeote EF100_57A08;
274855;uncultured marine group II euryarchaeote DeepAnt-JyKC7;
1457879;uncultured marine group II/III euryarchaeote KM3_143_C03;
1457716;uncultured marine group II/III euryarchaeote AD1000_108_D01;
526683;uncultured marine group II euryarchaeote KM3-72-G3;
347540;uncultured marine group II euryarchaeote HF70_59C08;
2662827;Vertebrata sp. 2fucoides;
2590551;Sulfurimonas sp. B2;
187090;uncultured PVC group bacterium;
34034;uncultured delta proteobacterium;
174293;uncultured Microgenomates group bacterium;
1457752;uncultured marine group II/III euryarchaeote AD1000_31_C10;
526635;uncultured marine group II euryarchaeote AD1000-18-D2;
512008;uncultured marine group II euryarchaeote DeepAnt-15E7;
62674;uncultured proteobacterium OCS44;
159784;uncultured gamma proteobacterium MB12G11;
133804;uncultured marine gamma proteobacterium EBAC31A08;
215775;uncultured Thermoplasmatales archaeon;
85080;Penicillium dipodomyus;REMOVE with next update BLASTdb and accessionTaxa.sql
415441;uncultured marine bacterium EB80_02D08;
1128416;uncultured OM182 clade bacterium;
24764;marine gamma proteobacterium HTCC2188;
137412;uncultured bacterium mle1-8;
257388;uncultured marine bacterium 438;
429447;Haptophyceae sp. #8;
37383;hydrothermal vent eubacterium PVB_OTU_3;
526648;;uncultured bacterium AD203-H6;
293324;uncultured Chromatiales bacterium;
257388;uncultured marine bacterium 438;
125890;uncultured freshwater bacterium;
84497;NA;
146947;NA;
84488;NA;
648174;uncultured SAR86 cluster bacterium;
334277;gamma proteobacterium ST1;
759664;uncultured deep-sea bacterium;
926850;bacterium enrichment culture clone AOM-SR-B13;
293400;uncultured Rhodobacterales bacterium;
1632506;bacterium YC-ZSS-LKJ113;
415540;uncultured marine microorganism;
115414;uncultured marine alpha proteobacterium;
257385;uncultured marine bacterium 311;
147214;uncultured coastal Alaskan Arctic bacterium AWS98-19a;
152509;uncultured Bacteroidetes bacterium;
627468;uncultured sea ice bacterium;
278095;uncultured Lentisphaerae bacterium;
648174;uncultured SAR86 cluster bacterium;
279908;uncultured gamma proteobacterium eBACHOT4E07;
171953;uncultured Acidobacteria bacterium;
1303917;Ctenophora sp. C5;
2038127;Cydippida sp. Maryland;
2038137;Ctenophora sp. Bahamas;
38145;uncultured Gram-positive bacterium;
403927;sulfate-reducing bacterium enrichment clone BRIC43;
710730;uncultured Acidobacteria bacterium HF0770_27F21;
526693;uncultured bacterium SAT52-B4;
526654;uncultured bacterium AD257-B4;
257383;uncultured marine bacterium 106;
155098;uncultured compost bacterium;
443011;Alteromonadales bacterium G-AMM10;
443014;Alteromonadales bacterium G-AMM9;
443017;Alteromonadales bacterium G-He6;
443016;Alteromonadales bacterium G-He12;
443015;Alteromonadales bacterium G-He11;
443019;Alteromonadales bacterium G-Suc65;
115719;psychrophilic marine bacterium PS03;
135819;uncultured alphaproteobacterium C116-18;
415540;uncultured marine microorganism;
710993;uncultured Sphingomonadales bacterium HF0500_24B12;
585324;bacterium L200B.328;
207831;bacterium enrichment culture;
293343;uncultured Alteromonadales bacterium;
195042;uncultured Moraxellaceae bacterium;
332614;uncultured Pseudomonadales bacterium;
227949;uncultured Porphyrobacter sp.;
698296;Penicillium sp. enrichment culture clone NJ-F4;
422972;Trichocomaceae sp. LM196;
423005;Trichocomaceae sp. LM71;
47299;unidentified plant;
1706261;Eurotiales sp. Rco016EF4;
1706259;Eurotiales sp. Rco015EF4;
1706254;Eurotiales sp. Rco010EF4;
2548451;Eurotiales sp. IK_Pi13;
2555407;Eurotiales sp. IK_Pi12;
2548450;Eurotiales sp. IK_Pi10;
2548449;Eurotiales sp. IK_Pi07;
1779662;fungal sp. ZJ48;
1779654;fungal sp. ZJ34;
1779651;fungal sp. ZJ30;
1779647;fungal sp. ZJ26;
1779661;fungal sp. ZJ46;
1779660;fungal sp. ZJ45;
1779659;fungal sp. ZJ43;
1779652;fungal sp. ZJ31;
1779634;fungal sp. ZJ12;
288570;endosymbiont of Vestimentiferan tubeworm;
676241;uncultured sediment bacterium;
91750;uncultured Alphaproteobacteria bacterium
309857;uncultured Pelagibacterales bacterium;
219049;uncultured Arctic sea ice bacterium;
56765;uncultured marine bacterium;
291845;uncultured Sulfurimonas sp.;
1378687;bacterium enrichment culture clone 68;
120858;uncultured Epsilonproteobacteria bacterium;
2738883;uncultured Sedimenticola sp.;
1689145;uncultured Thiohalobacter sp.;
191467;uncultured Dechloromarinus sp.;
86473;uncultured Gammaproteobacteria bacterium;
1617888;uncultured Thiogranum sp.;
1872439;Aliidiomarina sp.;
752174;bacterium endosymbiont of Osedax mucofloris;
56765;Uncultured marine bacterium;
86473;Uncultured gamma proteobacterium;
121251;eukaryote clone OLI11255;
2200875;Noctiluca sp. clone;
1703869;Equus cf. scotti PH-2017;
2579007;Raja sp. FOAL365-10;
1709936;
2603696;
2108304;
632957;
589446;
1628920;
1706235;
2004941;
1709939;
2004915;
1779656;
1683398;Stichotrichia sp. bTTo1;
1683346;Stichotrichia sp. 1 bOmb2;
1683341;Stichotrichia sp. 1 bLPN1;
1683391;Stichotrichia sp. bLaN1;
2108263;uncultured Stichotrichia;
304054;uncultured Glenodinium;
2966;Noctiluca scintillans;
100272;uncultured eukaryote;
1239304;uncultured apostome ciliate;
1818016;uncultured Pedinophyceae;
1821252;uncultured Spongomonas;
1821256;uncultured Spongospora;
1821257;uncultured Endomyxa;
1895986;uncultured Ancistrum;
1896055;uncultured Parastrombidinopsis;
1938525;uncultured Thecofilosea;
1986200;uncultured Aphelidea;
2038472;uncultured Cryptomonadales;
2038477;uncultured Choreotrichia;
2038606;uncultured Tintinnidium;
2082083;uncultured Aphanomyces;
2108276;uncultured Salpingoecidae;
2170500;uncultured Chrysolepidomonas;
2487804;uncultured Chromulinaceae;
2517250;uncultured Oocystaceae;
1764542;uncultured Sphenoderiidae;
1764547;uncultured Trinematidae;
1659307;uncultured Mamiellophyceae;
1628372;uncultured Tetracystis;
1595896;uncultured Micronuclearia;
1572338;uncultured Tintinnida;
1549789;uncultured Cryptocaryon;
1549805;uncultured Protaspis;
1501851;uncultured Mesodinium sp.;
1503100;uncultured Kappamycetaceae;
1508459;uncultured Tetraselmis;
1495571;uncultured Stenoxybacter sp.;
1423345;uncultured biliphyte;
1392385;uncultured stichotrichid;
1315710;uncultured Picomonas;
1260781;uncultured Entophlyctis;
1214081;uncultured Chitinibacter sp.;
1219481;uncultured Chloromonas;
1223306;uncultured Auricularia;
1194682;uncultured Hydrurus sp.;
1204480;uncultured Sclerotium;
1137604;uncultured Nematoctonus;
1147121;uncultured Rhizophagus;
1163717;uncultured Phlyctochytrium;
1130064;uncultured Cryptomycota;
1074199;uncultured Heterocapsa sp.;
1074203;uncultured Cyanophora;
1049725;uncultured Glomeraceae;
941462;uncultured Vampyrellida;
946273;uncultured Katablepharis;
947845;uncultured Myrionecta;
1006557;uncultured Skeletonema;
904963;uncultured Phycisphaerae bacterium;
909238;uncultured Strophariaceae;
876688;uncultured Telonemida;
839843;uncultured Glomerales;
858374;uncultured Rimostrombidium;
858378;uncultured Halteria;
858381;uncultured Encyonema;
858383;uncultured Cryptomonas;
858387;uncultured Geminigera;
858389;uncultured Lagenidiales;
858584;uncultured Filobasidium;
765898;uncultured Prostomatea;
765940;uncultured Oedogoniales;
754009;uncultured Dikarya;
699842;uncultured trypanosome;
698015;uncultured Triparticalcar;
696478;uncultured Euplotida;
696489;uncultured Suctoria;
687209;uncultured Rhizophydiales;
687796;uncultured Debaryomyces;
682386;uncultured Corallinales;
682749;uncultured Rhizophydium;
660911;uncultured Chrysochromulina;
660924;uncultured Teleaulax;
654899;uncultured Thalassiosira;
651629;uncultured Zygnematales;
595695;uncultured marine Mesodiniidae;
585513;uncultured Dothideomycetidae;
585521;uncultured Lecanoromycetidae;
588873;uncultured marine cryptophyte;
588879;uncultured marine chrysophyte;
588883;uncultured marine Gymnodiniales;
589304;uncultured marine dinoflagellate;
589353;uncultured marine Geminigeraceae;
589355;uncultured marine Phaeocystaceae;
589356;uncultured marine picozoan;
589440;uncultured marine Telonemida;
590481;uncultured Amoebozoa;
573618;uncultured marine Syndiniales;
573652;uncultured Ichthyosporea;
573655;uncultured Katablepharidophyta;
554078;uncultured Rhizaria;
543743;uncultured Tremellomycetes;
547477;uncultured Scuticociliatia;
547479;uncultured Euamoebida;
542485;uncultured bacterium HF0070_02E07;
515363;uncultured marine picoeukaryote;
482330;uncultured Symbiodinium;
485336;uncultured Chlorophyceae;
485342;uncultured Pyramimonadales;
467201;uncultured Acaulosporaceae;
455386;uncultured Agaricomycotina;
453999;uncultured marine ciliate;
447265;uncultured yeast;
450315;uncultured Mortierella;
417446;uncultured Closteriaceae;
419946;uncultured picobiliphyte;
385043;uncultured Syndiniales;
395585;uncultured Sarcosomataceae;
404721;uncultured Codonosigidae;
404722;uncultured Hartmannellidae;
404726;uncultured raphidophyte;
404735;uncultured Eimeriidae;
404737;uncultured cercomonad;
404740;uncultured Thaumatomonadida;
404767;uncultured Auriculariaceae;
404805;uncultured Eustigmatophyceae;
411917;uncultured Planctomycetia bacterium;
366502;uncultured Sebacinales;
373119;uncultured Dunaliellaceae;
373149;uncultured Perkinsea;
373545;uncultured Diversispora;
376553;uncultured Thalassiosirales;
376602;uncultured Bacillariophyceae;
358574;uncultured microorganism;
362226;uncultured Microbotryomycetes;
356913;uncultured freshwater cercozoan;
335445;uncultured Boletaceae;
338567;uncultured Malassezia;
340052;uncultured Katablepharidaceae;
340210;uncultured microeukaryote;
341153;uncultured Spumella;
342097;uncultured soil eukaryote;
342104;uncultured Agaricales;
343862;uncultured Gyrodinium;
343864;uncultured Euplotes sp.;
329652;uncultured marine alveolate;
329653;uncultured marine cercozoan;
329656;uncultured marine stramenopile;
324688;uncultured marine picoplankton;
315788;uncultured Teleaulax-like cryptophyte;
315267;uncultured freshwater eukaryote;
315268;uncultured freshwater cryptophyte;
315731;uncultured choreotrichid ciliate;
315739;uncultured Spirotrichea;
296825;uncultured Opitutus sp.;
297535;uncultured Cryothecomonas;
300665;uncultured Amoebidium;
300668;uncultured Florideophyceae;
300671;uncultured scuticociliate;
300673;uncultured Oligohymenophorea;
304059;uncultured Amoebophrya;
292466;uncultured Penicillium;
282477;uncultured Peritrichia;
282480;uncultured Lobosea;
282483;uncultured Bicosoecida;
282486;uncultured haptorid ciliate;
282492;uncultured Tubificina;
282495;uncultured Oxytrichidae;
282507;uncultured Ustilaginomycetes;
282509;uncultured Pezizomycotina;
282511;uncultured Chytridiales;
282565;uncultured Stentoridae;
260559;uncultured Streptophyta;
263769;uncultured Moraxella sp.;
274854;uncultured Candidatus Poseidoniales archaeon;
231055;uncultured Glomus;
231236;uncultured Paraglomus;
232018;uncultured Jiaozhou Bay zooplankton;
237779;uncultured Haemophilus sp.;
240148;uncultured Ochromonas;
241622;uncultured Glomeromycotina;
243282;uncultured Cryptophyta;
243295;uncultured Plasmodiophoridae;
246176;uncultured Tomentella;
246267;uncultured Aspergillus;
248125;uncultured Eurotiomycetes;
253819;uncultured Agaricomycetes;
208548;uncultured Neisseriaceae bacterium;
210223;uncultured Hebeloma;
221742;uncultured Galactomyces;
225016;uncultured Polaromonas sp.;
167235;uncultured Trebouxiophyceae;
167973;uncultured Lactococcus sp.;
168826;uncultured Cryptomonadaceae;
171245;uncultured Chlorophyta;
172788;uncultured phototrophic eukaryote;
175243;uncultured Ascomycota;
175244;uncultured Basidiomycota;
175245;uncultured fungus;
175247;uncultured Chytridiomycota;
175274;uncultured alveolate;
175275;uncultured Cercozoa;
175276;uncultured Choanoflagellida;
175278;uncultured metazoan;
179640;uncultured zygomycete;
183512;uncultured Chrysophyceae;
187299;uncultured ciliate;
187300;uncultured dinoflagellate;
195159;uncultured cf. Mycena sp.;
198431;uncultured prokaryote;
203449;uncultured marine eukaryote;
204529;uncultured kinetoplastid;
204869;uncultured rhizosphere chytridiomycete;
205931;uncultured Pythium;
162014;uncultured rhodophyte;
164851;uncultured soil bacterium;
165433;uncultured Acinetobacter sp.;
153809;uncultured proteobacterium;
155900;uncultured organism;
156588;uncultured Verrucomicrobia bacterium;
157820;uncultured prasinophyte;
158754;uncultured Sphingomonas sp.;
152704;uncultured stramenopile;
151777;uncultured marine stramenopile DH148-5-EKD53;
150676;uncultured basidiomycote Cons3;
137771;uncultured diatom;
124733;uncultured bacterium FukuN111;
120965;uncultured planctomycete;
115547;uncultured archaeon;
100233;uncultured Planctomycetaceae bacterium;
100272;uncultured eukaryote;
86027;uncultured beta proteobacterium;
77133;uncultured bacterium;
1211;uncultured cyanobacterium;
33858;environmental samples;environmental samples <Bacillariophyta>
34033;environmental samples;environmental samples <delta subdivision>
35766;environmental samples;environmental samples <Actinobacteria>
40903;environmental samples;environmental samples <Planctomycetales>
47925;environmental samples;environmental samples <alpha subdivision>
47926;beta environmental samples;
47926;environmental samples;environmental samples <beta subdivision>
47928;environmental samples;environmental samples <clostridial firmicutes>
47928;low G+C firmicute environmental samples;
47936;environmental samples;environmental samples <Proteobacteria>
47938;Enterobacteriaceae environmental samples;
47938;environmental samples;environmental samples <Enterobacteriaceae>
47949;environmental samples;environmental samples <Ammonia-oxidizing bacteria>
48468;environmental samples;environmental samples <Verrucomicrobiales>
48479;Eubacteria environmental samples;
48479;environmental samples;environmental samples <Bacteria>
48504;environmental samples;environmental samples <Cyanobacteria>
48505;environmental samples;environmental samples <Chloroflexus group>
48506;Chloroflexaceae environmental samples;
48506;environmental samples;environmental samples <Chloroflexaceae>
48509;environmental samples;environmental samples <Crenarchaeota>
48510;Archaea environmental samples;
48510;environmental samples;environmental samples <Archaea>
49276;environmental samples;environmental samples <Flectobacillus>
50423;environmental samples;environmental samples <gamma proteobacteria>
50423;gamma proteobacteria environmental samples;
50559;environmental samples;environmental samples <Clostridiales>
50609;environmental samples;environmental samples <Bacillales>
50742;environmental samples;environmental samples <Bacteroidetes>
51233;environmental samples;environmental samples <green sulfur bacteria>
51666;environmental samples;environmental samples <Firmicutes>
51968;environmental samples;environmental samples <Korarchaeota>
54518;environmental samples;environmental samples <Alcaligenes>
54520;environmental samples;environmental samples <Methylophilus>
54522;environmental samples;environmental samples <Ralstonia>
54524;environmental samples;environmental samples <Rhodoferax>
54532;environmental samples;environmental samples <SAR11 cluster>
56766;environmental samples;environmental samples <Spirochaetales>
56769;environmental samples;environmental samples <Actinomycetales>
56775;environmental samples;environmental samples <Deinococcus-Thermus group>
57016;Bacteroidaceae environmental samples;
57016;environmental samples;environmental samples <Bacteroidaceae>
57112;environmental samples;environmental samples <Embryophyta>
57668;environmental samples;environmental samples <Methanosarcinaceae>
57695;environmental samples;environmental samples <Cardiobacteriaceae>
57697;environmental samples;environmental samples <Streptococcaceae>
57702;environmental samples;environmental samples <Rhizobiaceae group>
57727;environmental samples;environmental samples <Acidobacteria>
57731;environmental samples;environmental samples <Fungi>
58229;environmental samples;environmental samples <Green non-sulfur bacteria>
58667;environmental samples;environmental samples <Methanobacteriales>
58772;environmental samples;environmental samples <Arthorpoda>
58841;environmental samples;environmental samples <Rhodobacter group>
59619;environmental samples;environmental samples <Clostridium>
60598;environmental samples;environmental samples <Spirochaetaceae>
61964;environmental samples;environmental samples <Eukaryotae>
62104;environmental samples;environmental samples <Pseudomonas>
62269;environmental samples;environmental samples <Thermus>
62655;environmental samples;environmental samples <SAR116 cluster>
62665;Zoogloea environmental samples;
62665;environmental samples;environmental samples <Zoogloea>
62667;environmental samples;environmental samples <beta subdivision methylotrophs>
62669;environmental samples;environmental samples <Variovorax>
62673;environmental samples;environmental samples <SAR86 cluster>
62677;environmental samples;environmental samples <BDA1-5 cluster>
63449;Aquificales environmental samples;
63449;environmental samples;environmental samples <Aquificales>
65115;environmental samples;environmental samples <Rhodospirillaceae>
65119;environmental samples;environmental samples <Bacillus>
65121;environmental samples;environmental samples <Myxobacteria>
65831;Geobacter environmental samples;
65831;environmental samples;environmental samples <Geobacter>
65843;environmental samples;environmental samples <Fibrobacteres>
67525;environmental samples;environmental samples <Nitrosospira>
67768;environmental samples;environmental samples <Agrobacterium>
67798;environmental samples;environmental samples <Nitrospira group>
67800;environmental samples;environmental samples <Thermodesulfobacterium group>
68346;environmental samples;environmental samples <Cytophagales/Green sulfur bacteria group>
68357;Methanobrevibacter environmental samples;
68357;environmental samples;environmental samples <Methanobrevibacter>
68358;Methanosphaera environmental samples;
68358;environmental samples;environmental samples <Methanosphaera>
68359;Euryarchaeota environmental samples;
68359;environmental samples;environmental samples <Euryarchaeota>
68913;environmental samples;environmental samples <Dictyoglomus group>
68926;environmental samples;environmental samples <Thermotogales>
68934;environmental samples;environmental samples <Thermus group>
69197;environmental samples;environmental samples <Microcystis>
69409;environmental samples;environmental samples <Planctomycetaceae>
69542;environmental samples;environmental samples <Geobacteraceae>
