sacc;stitle;sscinames
AB275052;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-52;uncultured eukaryote
AB275053;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-53;uncultured eukaryote
AB275057;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-57;uncultured eukaryote
AB275058;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-58;uncultured eukaryote
AB275066;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-66;uncultured eukaryote
AB275091;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-8;uncultured eukaryote
AB275093;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-10;uncultured eukaryote
AB275094;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-11;uncultured eukaryote
AB275095;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-12;uncultured eukaryote
AB275096;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-13;uncultured eukaryote
AB275097;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-14;uncultured eukaryote
AB275101;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-18;uncultured eukaryote
AB330056;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: YS18Ec23;uncultured eukaryote
AB364200;Uncultured organism DNA, ribosomal RNA intergenic spacer, clone: Amplicon6-1;uncultured organism
AB364201;Uncultured organism DNA, ribosomal RNA intergenic spacer, clone: Amplicon6-3;uncultured organism
AB364202;Uncultured organism DNA, ribosomal RNA intergenic spacer, clone: Amplicon6-1;uncultured organism
AB455149;Uncultured chrysophyte gene for 18S rRNA, partial sequence;uncultured Chrysophyceae
AB473925;Uncultured ciliate gene for 18S rRNA, partial sequence, clone: JH_05_DIA;uncultured ciliate
AB475014;Uncultured beta proteobacterium gene for 16S rRNA, partial sequence, clone: B17_FuJY;uncultured beta proteobacterium
AB475016;Uncultured beta proteobacterium gene for 16S rRNA, partial sequence, clone: B17_FuJY;uncultured beta proteobacterium
AB505475;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM18;uncultured eukaryote
AB505477;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM20;uncultured eukaryote
AB505479;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM22;uncultured eukaryote
AB505484;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM27;uncultured eukaryote
AB505495;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM38;uncultured eukaryote
AB505498;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM41;uncultured eukaryote
AB505500;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM43;uncultured eukaryote
AB505501;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM44;uncultured eukaryote
AB505502;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM45;uncultured eukaryote
AB505503;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM1-SGM46;uncultured eukaryote
AB505511;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM03;uncultured eukaryote
AB505521;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM13;uncultured eukaryote
AB505523;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM15;uncultured eukaryote
AB505554;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM46;uncultured eukaryote
AB505571;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM63;uncultured eukaryote
AB505572;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM64;uncultured eukaryote
AB505576;Uncultured eukaryote 18S rRNA, partial sequence, clone: RM2-SGM68;uncultured eukaryote
AB505588;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: DM2-SGM09;uncultured eukaryote
AB506359;Uncultured bacterium gene for 16S rRNA, partial sequence, clone: R-C-H05;uncultured bacterium
AB506657;Uncultured bacterium gene for 16S rRNA, partial sequence, clone: ST-H04;uncultured bacterium
AB520463;Uncultured fungus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, clone: IU-FSC Fun47_FuB203;uncultured fungus
AB520464;Uncultured fungus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, clone: IU-FSC Fun48_FuB425;uncultured fungus
AB520467;Uncultured fungus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, clone: IU-FSC Fun50_FuB403;uncultured fungus
AB520718;Uncultured Euamoebida gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone3;uncultured Euamoebida
AB520719;Uncultured cercozoan gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone4;uncultured Cercozoa
AB520720;Uncultured Euamoebida gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone3;uncultured Euamoebida
AB520722;Uncultured Euamoebida gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone3;uncultured Euamoebida
AB520724;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone9;uncultured Chrysophyceae
AB520727;Uncultured Euamoebida gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone3;uncultured Euamoebida
AB520733;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone18;uncultured Chrysophyceae
AB520735;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone20;uncultured Chrysophyceae
AB572098;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_G03;uncultured eukaryote
AB572099;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC1_E08;uncultured eukaryote
AB572100;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_F09;uncultured eukaryote
AB572101;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC1_H11;uncultured eukaryote
AB572102;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_F04;uncultured eukaryote
AB572103;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC1_F01;uncultured eukaryote
AB572104;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_D06;uncultured eukaryote
AB572110;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_C12;uncultured eukaryote
AB572111;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_D02;uncultured eukaryote
AB572112;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC1_G06;uncultured eukaryote
AB572155;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: ABC2_C11;uncultured eukaryote
AB594848;Uncultured mycorrhizal fungus gene for 18S ribosomal RNA, partial sequence, clone: 0165;uncultured fungus
AB594857;Uncultured mycorrhizal fungus gene for 18S ribosomal RNA, partial sequence, clone: 0156;uncultured fungus
AB594860;Uncultured mycorrhizal fungus gene for 18S ribosomal RNA, partial sequence, clone: 0159;uncultured fungus
AB594865;Uncultured mycorrhizal fungus gene for 18S ribosomal RNA, partial sequence, clone: 0164;uncultured fungus
AB594873;Uncultured mycorrhizal fungus gene for 18S ribosomal RNA, partial sequence, clone: 0121;uncultured fungus
AB594875;Uncultured mycorrhizal fungus gene for 18S ribosomal RNA, partial sequence, clone: 0124;uncultured fungus
AB622281;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K4JUN2009;uncultured freshwater eukaryote
AB622294;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1AUG2009;uncultured freshwater eukaryote
AB622299;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K6AUG2009;uncultured freshwater eukaryote
AB622304;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K11AUG2009;uncultured freshwater eukaryote
AB622313;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K8OCT2009;uncultured freshwater eukaryote
AB622315;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K2DEC2009;uncultured freshwater eukaryote
AB622323;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K6MAR2010;uncultured freshwater eukaryote
AB622324;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K7MAR2010;uncultured freshwater eukaryote
AB622327;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K2APR2010;uncultured freshwater eukaryote
AB622331;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K6APR2010;uncultured freshwater eukaryote
AB622337;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K6MAY2010;uncultured freshwater eukaryote
AB694535;Uncultured dinoflagellate gene for 18S rRNA, partial sequence, clone: PA13;uncultured dinoflagellate
AB694649;Uncultured dinoflagellate gene for 18S rRNA, partial sequence, clone: PM97;uncultured dinoflagellate
AB694683;Uncultured dinoflagellate gene for 18S rRNA, partial sequence, clone: PJ18;uncultured dinoflagellate
AB695461;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE1-18;uncultured eukaryote
AB695470;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE1-27;uncultured eukaryote
AB695472;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE1-29;uncultured eukaryote
AB695473;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE1-30;uncultured eukaryote
AB695474;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE1-31;uncultured eukaryote
AB695478;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE1-35;uncultured eukaryote
AB695501;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-6;uncultured eukaryote
AB695505;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-10;uncultured eukaryote
AB695518;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-24;uncultured eukaryote
AB695529;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-35;uncultured eukaryote
AB695530;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-36;uncultured eukaryote
AB695532;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-38;uncultured eukaryote
AB695535;Uncultured eukaryote gene for 18S ribosomal RNA, complete sequence, clone: MPE2-41;uncultured eukaryote
AB698042;Uncultured bacterium gene for 16S rRNA, partial sequence, clone: SK1;uncultured bacterium
AB706400;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: CABP-1;uncultured eukaryote
AB714270;Esquamula lacrimiformis gene for 18S ribosomal RNA, partial sequence;Esquamula lacrimiformis
AB721016;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: DW3_2010;uncultured freshwater eukaryote
AB721024;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: DW11_2010;uncultured freshwater eukaryote
AB721033;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: RW9_2010;uncultured freshwater eukaryote
AB721047;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: SB6_2010;uncultured freshwater eukaryote
AB721059;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: SB18_2010;uncultured freshwater eukaryote
AB725341;Uncultured ciliate gene for 18S ribosomal RNA, partial sequence, clone: MP29-83;uncultured ciliate
AB749051;uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence;uncultured Chrysophyceae
AB749057;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.7-8;uncultured Chrysophyceae
AB749058;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.8-9;uncultured Chrysophyceae
AB749059;Uncultured ciliate gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.8-10;uncultured ciliate
AB749061;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.3-12;uncultured Chrysophyceae
AB749062;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.4-13;uncultured Chrysophyceae
AB749063;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.4-14;uncultured Chrysophyceae
AB749064;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.5-15;uncultured Chrysophyceae
AB749065;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.6-16;uncultured Chrysophyceae
AB749068;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone18;uncultured Chrysophyceae
AB749069;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Bs-St.1-20;uncultured Chrysophyceae
AB749070;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.6-16;uncultured Chrysophyceae
AB749076;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Bs-St.4-27;uncultured Chrysophyceae
AB749077;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.3-12;uncultured Chrysophyceae
AB749078;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Bs-St.5-29;uncultured Chrysophyceae
AB749079;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone Bs-St.5-30;uncultured Chrysophyceae
AB749085;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone Bs-St.5-30;uncultured Chrysophyceae
AB749088;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.6-16;uncultured Chrysophyceae
AB749089;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.6-16;uncultured Chrysophyceae
AB749090;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Re-St.4-41;uncultured Chrysophyceae
AB749092;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Re-St.6-43;uncultured fungus
AB749093;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Re-St.6-44;uncultured fungus
AB749094;Uncultured cercozoan gene for 18S ribosomal RNA, partial sequence, clone: Re-St.6-45;uncultured Cercozoa
AB749095;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Re-St.7-46;uncultured fungus
AB749096;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Re-St.7-47;uncultured fungus
AB749097;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone18;uncultured Chrysophyceae
AB749098;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone20;uncultured Chrysophyceae
AB749100;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.1-51;uncultured Chrysophyceae
AB749104;Uncultured Euamoebida gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone3;uncultured Euamoebida
AB749105;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.3-56;uncultured Chrysophyceae
AB749106;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone9;uncultured Chrysophyceae
AB749107;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.6-16;uncultured Chrysophyceae
AB749109;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.6-60;uncultured Chrysophyceae
AB749114;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.1-65;uncultured Chrysophyceae
AB749117;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.3-68;uncultured Chrysophyceae
AB749118;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.4-69;uncultured Chrysophyceae
AB749120;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone9;uncultured Chrysophyceae
AB749122;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.8-73;uncultured Chrysophyceae
AB749127;Uncultured ciliate gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.5-78;uncultured ciliate
AB749133;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.3-84;uncultured Chrysophyceae
AB749134;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.3-85;uncultured Chrysophyceae
AB749137;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.3-68;uncultured Chrysophyceae
AB749138;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.5-89;uncultured Chrysophyceae
AB749139;Uncultured ciliate gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.6-90;uncultured ciliate
AB749140;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.3-68;uncultured Chrysophyceae
AB749142;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.9-93;uncultured Chrysophyceae
AB749143;Uncultured Euamoebida gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone3;uncultured Euamoebida
AB749144;Uncultured cercozoan gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.10-95;uncultured Cercozoa
AB749145;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.12-96;uncultured Chrysophyceae
AB749146;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.9-93;uncultured Chrysophyceae
AB749148;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone9;uncultured Chrysophyceae
AB749149;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.17-100;uncultured Chrysophyceae
AB749150;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: 10182008-Euk18S-Clone9;uncultured Chrysophyceae
AB749151;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.19-102;uncultured Chrysophyceae
AB749152;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Cn-St.20-103;uncultured Chrysophyceae
AB753977;Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: rS25m_82;uncultured bacterium
AB771796;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K10MAR2010;uncultured freshwater eukaryote
AB771806;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K9JUN2010;uncultured freshwater eukaryote
AB771811;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K4JUL2010;uncultured freshwater eukaryote
AB771815;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K8JUL2010;uncultured freshwater eukaryote
AB771816;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1AUG2010;uncultured freshwater eukaryote
AB771828;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1OCT2010;uncultured freshwater eukaryote
AB771833;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K6OCT2010;uncultured freshwater eukaryote
AB771838;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1NOV2010;uncultured freshwater eukaryote
AB771840;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K3NOV2010;uncultured freshwater eukaryote
AB771845;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K8NOV2010;uncultured freshwater eukaryote
AB771849;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K12NOV2010;uncultured freshwater eukaryote
AB771850;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1DEC2010;uncultured freshwater eukaryote
AB771851;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K2DEC2010;uncultured freshwater eukaryote
AB771867;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K4JAN2011;uncultured freshwater eukaryote
AB771871;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1APR2011;uncultured freshwater eukaryote
AB771875;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K5APR2011;uncultured freshwater eukaryote
AB771884;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K4SEP2011;uncultured freshwater eukaryote
AB771886;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K2OCT2011;uncultured freshwater eukaryote
AB771891;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K1DEC2011;uncultured freshwater eukaryote
AB771892;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K2DEC2011;uncultured freshwater eukaryote
AB771896;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K3JAN2012;uncultured freshwater eukaryote
AB771901;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K8JAN2012;uncultured freshwater eukaryote
AB771907;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K3FEB2012;uncultured freshwater eukaryote
AB771908;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K4FEB2012;uncultured freshwater eukaryote
AB771909;Uncultured freshwater eukaryote gene for 18S rRNA, partial sequence, clone: K5FEB2012;uncultured freshwater eukaryote
AB827450;Uncultured marine eukaryote gene for 18S rRNA, partial sequence, clone: HP18D-7;uncultured marine eukaryote
AB827482;Uncultured dinoflagellate gene for 18S rRNA, partial sequence, clone: HP18D-39;uncultured dinoflagellate
AB827491;Uncultured cercozoan gene for 18S rRNA, partial sequence, clone: HP18D-48;uncultured Cercozoa
AB827493;Uncultured cercozoan gene for 18S rRNA, partial sequence, clone: HP18D-50;uncultured Cercozoa
AB827526;Uncultured cercozoan gene for 18S rRNA, partial sequence, clone: HP18D-83;uncultured Cercozoa
AB827608;Uncultured cryptophyte gene for 18S rRNA, partial sequence, clone: HP09D-70;uncultured Cryptophyta
AB846599;Uncultured Ochromonas sp. gene for large subunit ribosomal RNA, partial sequence, isolate: DGGE: EC5;uncultured Ochromonas
AB901553;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOan_H_2012Dec_123;uncultured eukaryote
AB901564;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOan_H_2012Dec_17;uncultured eukaryote
AB901565;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOan_H_2012Dec_18;uncultured eukaryote
AB901574;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOan_H_2012Dec_32;uncultured eukaryote
AB901579;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOan_H_2012Dec_41;uncultured eukaryote
AB901616;Uncultured eukaryote gene for 18S rRNA gene sequences may contain exons and introns, partial sequence, clone: AOan_H_2012Dec_99;uncultured eukaryote
